muscle_group,exercise,equipment,target_sets,target_reps,starting_weight_lbs,knee_safe,notes
Chest,Life Fitness Chest Press,Life Fitness Machine,4,10-12,0,yes,Block 1 main press
Chest,Incline Chest Press Machine,Machine,4,10-12,0,yes,Block 1 incline press
Chest,Pec Deck Fly,Machine,3,15,0,yes,Chest isolation
Chest,Cable Fly,Cable,3,15,0,yes,Controlled stretch
Chest,Hammer Strength Chest Press,Hammer Strength,4,10,115,yes,Heavy chest press
Chest,Hammer Strength Incline Press,Hammer Strength,4,10-12,0,yes,Block variation main press
Chest,Machine Bench Press,Machine,4,8-12,0,yes,Controlled press option
Chest,High-to-Low Cable Fly,Cable,3,12-15,0,yes,Lower chest angle
Chest,Low-to-High Cable Fly,Cable,3,12-15,0,yes,Upper chest angle
Chest,Converging Chest Press,Machine,4,10-12,0,yes,Commercial gym machine
Triceps,Rope Pushdowns,Cable,4,15,27.5,yes,Elbows tucked
Triceps,Overhead Cable Tricep Extension,Cable,3,15,0,yes,Long head focus
Triceps,V-Bar Pushdowns,Cable,4,12-15,0,yes,Block variation pushdown
Triceps,Single Arm Cable Extensions,Cable,3,15,10,yes,Control each arm
Triceps,Cable Kickbacks,Cable,3,15,0,yes,Light control
Back,Wide Grip Lat Pulldown,Cable Machine,4,12,105,yes,Block 1 main vertical pull
Back,Close Grip Pulldown,Cable Machine,3,12,90,yes,Neutral/close grip
Back,Seated Row Machine,Machine,4,12,85,yes,Block 1 row
Back,Straight Arm Pulldown,Cable,3,15,45,yes,Lats without biceps
Back,Reverse Pec Deck,Machine,3,15,55,yes,Rear delts/upper back
Back,Neutral Grip Pulldown,Cable Machine,4,10-12,0,yes,Block variation vertical pull
Back,Chest Supported Row,Machine,4,10-12,0,yes,Back support
Back,Single Arm Machine Row,Machine,3,12 each,0,yes,Unilateral row
Back,Assisted Pull-up,Assisted Machine,3,8-10,0,yes,Only if comfortable setup
Biceps,Life Fitness Biceps Curl Machine,Life Fitness Machine,4,12,50,yes,Stable curl
Biceps,Cable Hammer Curl,Cable,3,15,27.5,yes,Neutral grip
Biceps,Preacher Curl Machine,Machine,4,12,0,yes,Block variation
Biceps,Cable Curl,Cable,3,12-15,0,yes,Constant tension
Forearms,Wrist Curl,Dumbbell/Cable,3,20,15,yes,Light control
Forearms,Reverse Wrist Curl,Dumbbell/Cable,3,20,7.5,yes,Light control
Shoulders,Shoulder Press Machine,Machine,4,12,60,yes,Block 1 main press
Shoulders,Machine Lateral Raise,Machine,4,15,40,yes,Side delts
Shoulders,Cable Face Pulls,Cable,4,15,27.5,yes,Rear delt/shoulder health
Shoulders,Front Raises,Dumbbell,3,15,2.5,yes,Light only
Shoulders,Shrugs,Dumbbell,4,15,30,yes,Traps
Shoulders,Hammer Strength Shoulder Press,Hammer Strength,4,10-12,0,yes,Block variation press
Shoulders,Cable Lateral Raise,Cable,3,12-15,0,yes,Controlled side delt
Shoulders,Rear Delt Machine,Machine,3,15,0,yes,Upper back/rear delt
Abs,Ab Crunch Machine,Machine,4,20,0,yes,Abs
Abs,Rotary Torso Machine,Machine,3,15 each side,0,yes,Controlled core
Abs,Cable Crunch,Cable,3,15,0,yes,Block variation core
Abs,Plank,Bodyweight,3,30-45 sec,0,yes,Core stability
Leg Rehab,Seated Hamstring Curl,Machine,4,15,85,yes,No downward loading
Leg Rehab,Hip Abduction Machine,Machine,4,15,150,yes,Knee friendly hip work
Leg Rehab,Hip Adduction Machine,Machine,4,15,150,yes,Knee friendly hip work
Leg Rehab,Glute Bridge Machine,Machine,3,12-15,0,yes,Only if available and pain-free
Leg Rehab,Terminal Knee Extensions,Band/Cable,3,20,0,yes,Rehab movement
Leg Rehab,Seated Calf Raise,Machine,3,20,30,yes,Only if pain-free
Recovery,Swimming,Pool,1,20-40 min,0,yes,Recovery cardio
Recovery,Bike Ride,Bike,1,20-45 min,0,yes,Low impact
Recovery,Sauna,Recovery,1,10-20 min,0,yes,Hydrate
Back,Lat Pulldown,Cable Machine,3,12,105,yes,Saturday back work
Back,Machine Row,Machine,3,12,85,yes,Saturday row
Shoulders,Face Pulls,Cable,3,15,27.5,yes,Shoulder health
Triceps,Rope Pushdowns,Cable,3,15,27.5,yes,Saturday triceps
